espece,abondance,parcelle,lon,lat
sp_Alauda_arvensis,3,P02,-1.9317,33.5243
sp_Buteo_buteo,3,P04,-2.5525,34.0823
sp_Vulpes_vulpes,3,P01,-1.0354,35.7177
sp_Miliaria_calandra,5,P06,-4.2227,35.3098
sp_Bombus_terrestris,7,P01,-3.8838,34.6699
sp_Bombus_terrestris,4,P10,-3.7727,33.7669
sp_Papilio_machaon,8,P06,-3.4038,33.9062
sp_Gryllus_campestris,5,P01,-1.738,35.1959
sp_Miliaria_calandra,7,P06,-4.4389,35.5535
sp_Lepus_europaeus,9,P10,-2.008,35.0143
sp_Papilio_machaon,6,P08,-3.6761,35.4286
sp_Buteo_buteo,8,P02,-2.7917,35.3
sp_Gryllus_campestris,8,P02,-2.6536,33.4491
sp_Bombus_terrestris,8,P04,-3.8222,34.2718
sp_Bombus_terrestris,3,P03,-3.1932,33.459
sp_Bombus_terrestris,4,P04,-3.6414,33.7057
sp_Alauda_arvensis,3,P07,-5.1889,35.6078
sp_Apis_mellifera,4,P01,-3.5328,34.4187
sp_Vanessa_atalanta,3,P06,-5.0617,34.6061
sp_Perdix_perdix,8,P03,-3.6774,33.5353
sp_Miliaria_calandra,3,P10,-2.8319,33.9368
sp_Bombus_terrestris,4,P07,-2.8926,33.6907
sp_Perdix_perdix,3,P10,-2.5182,33.6186
sp_Alauda_arvensis,5,P02,-5.0713,34.9139
sp_Vanessa_atalanta,7,P02,-2.5654,33.7707
sp_Carabus_auratus,2,P04,-4.0953,34.896
sp_Bombus_terrestris,2,P01,-3.7043,33.1754
sp_Apis_mellifera,4,P03,-1.6391,33.4253
sp_Miliaria_calandra,4,P09,-5.4594,33.8236
sp_Papilio_machaon,5,P07,-2.8521,34.7911
sp_Miliaria_calandra,6,P07,-2.8058,35.0275
sp_Bombus_terrestris,3,P04,-3.715,34.3282
sp_Papilio_machaon,9,P02,-4.4334,34.3374
sp_Buteo_buteo,4,P04,-4.444,35.1736
sp_Buteo_buteo,2,P06,-1.5233,33.0475
sp_Carabus_auratus,3,P03,-3.5109,34.0233
sp_Alauda_arvensis,3,P01,-4.011,35.4561
sp_Papilio_machaon,5,P08,-3.4805,34.8097
sp_Lepus_europaeus,7,P05,-2.4877,34.0117
sp_Vanessa_atalanta,8,P05,-4.8441,35.7166
sp_Bombus_terrestris,7,P04,-3.4775,35.3179
sp_Apis_mellifera,3,P06,-2.8545,33.7947
sp_Papilio_machaon,6,P03,-1.2314,34.9359
sp_Luscinia_megarhynchos,6,P09,-4.3636,34.7873
sp_Perdix_perdix,5,P05,-3.8834,34.2036
sp_Lepus_europaeus,5,P03,-3.7929,34.1009
sp_Alauda_arvensis,4,P01,-2.7751,34.0307
sp_Apis_mellifera,3,P10,-3.8947,34.8515
sp_Apis_mellifera,4,P06,-3.0992,34.3272
sp_Bombus_terrestris,9,P02,-1.9819,35.4956
